id,summary,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,street,neighbourhood_cleansed,city,state,zipcode,market,smart_location,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
241032,missing,2011-08-11,within a few hours,96.0,100.0,f,Queen Anne,3.0,"['email', 'phone', 'reviews', 'kba']",t,t,"Gilman Dr W, Seattle, WA 98119, United States",West Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",47.636289038357184,-122.37102519997765,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer}",85.0,2,5.0,1,365,14,41,71,346,207,2011-11-01,2016-01-02,95.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,moderate,f,f,2,4.07
953595,"Chemically sensitive? We've removed the irritants triggering allergy or asthma attacks, like carpeting, forced air & used pillows, all culprits that harbor fungus, mold & bacteria.  No smoking, no pets.  Designed for healthy living, so breathe easy.",2013-02-21,within an hour,98.0,100.0,t,Queen Anne,6.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",t,t,"7th Avenue West, Seattle, WA 98119, United States",West Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",47.63912312136253,-122.36566646439582,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",150.0,1,0.0,2,90,13,13,16,291,43,2013-08-19,2015-12-29,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,strict,t,t,6,1.48
3308979,"New modern house built in 2013.  Spectacular sunset/water views and light, rooftop deck and lounge area, hot tub, 5 bedrooms, gourmet kitchen.  Perfect for 2-3 families, walk to downtown.  Located in highly desirable Queen Anne neighborhood.",2014-06-12,within a few hours,67.0,100.0,f,Queen Anne,2.0,"['email', 'phone', 'google', 'reviews', 'jumio']",t,t,"West Lee Street, Seattle, WA 98119, United States",West Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",47.629724131577355,-122.3694831756176,t,House,Entire home/apt,11,4.5,5.0,7.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",975.0,10,25.0,4,30,1,6,17,220,20,2014-07-30,2015-09-03,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,strict,f,f,2,1.15
278830,"Cozy family craftman house in beautiful neighborhood of Queen Anne, Seattle, Washinton. 3 bedrooms, can accomodate up to 6 people. 1,200 sq. feet space is your oasis. Perfect location!",2011-11-29,within an hour,100.0,100.0,f,Queen Anne,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,"14th Ave W, Seattle, WA 98119, United States",West Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",47.63291840276724,-122.37247063402224,t,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",450.0,6,15.0,1,1125,30,60,90,365,38,2012-07-10,2015-10-24,92.0,9.0,9.0,10.0,10.0,9.0,9.0,f,f,strict,f,f,1,0.89
5956968,"We're renting out a small private unit of one of Seattle's most beautiful houses to creative travelers.  The unit has it's own entrance to give you privacy in a cozy room with a new bed, great view/light, antiques and a newly remodeled bathroom.",2010-12-25,1672,100.0,100.0,f,Queen Anne,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,"West Comstock Street, Seattle, WA 98119, United States",West Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",47.630525482401936,-122.36617406518856,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",Essentials,Shampoo}",120.0,1,30.0,1,6,0,0,27,302,17,2015-06-11,2015-09-28,95.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,strict,f,f,1,2.45
1909058,"Enjoy a quiet stay in our comfortable 1915 Craftsman bungalow in the West Queen Anne neighborhood. Street parking (free near entry), coffee, bakeries and neighborhood cafes nearby.  Close to Upper QA shopping district, Seattle Center and bus stops.",2012-05-30,within an hour,100.0,100.0,t,Queen Anne,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,"10th Avenue West, Seattle, WA 98119, United States",West Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",47.636605445320065,-122.36851905844937,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",80.0,1,10.0,3,14,20,49,71,346,58,2014-01-27,2015-12-07,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,f,f,1,2.46
856550,"Our tiny cabin is private , very quiet and comfortable spot just for two. The bus is just across the street. Queen Anne ,Ballard and Downtown are a short bus ride. High Speed WI-FI. The bathroom is shared by our guests .",2012-10-30,within an hour,100.0,100.0,t,Queen Anne,5.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']",t,t,"West Wheeler Street, Seattle, WA 98119, United States",West Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",47.640160541214655,-122.37585597885769,t,Cabin,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Essentials,Shampoo}",60.0,1,0.0,2,7,22,42,42,100,173,2013-01-03,2016-01-01,97.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,strict,t,t,5,4.73
4948745,"Nestled in the heart of the city, this space is turn of the century charm meets urban living; with gorgeous city views, nightlife, shopping, and restaurants within blocks.  Walking Score: 92",2012-04-18,1672,100.0,100.0,f,Queen Anne,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",t,t,"Queen Anne Avenue North, Seattle, WA 98109, United States",West Queen Anne,Seattle,WA,98109,Seattle,"Seattle, WA",47.632410299829,-122.35721606914028,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",90.0,1,0.0,3,1125,6,36,66,341,8,2015-06-22,2015-08-17,97.0,10.0,9.0,10.0,9.0,10.0,10.0,f,f,strict,f,f,1,1.22
2493658,"Beautiful apartment in an extremely safe, quiet and pedestrian-friendly section of Queen Anne.  A leafy-green location that puts the best of Seattle at your doorstep. Free WiFi, free parking, ...even free pillows!*  ",2013-02-21,within an hour,98.0,100.0,t,Queen Anne,6.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",t,t,"7th Avenue West, Seattle, WA 98119, United States",West Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",47.63749172022628,-122.3668885909212,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",150.0,1,0.0,2,365,6,19,49,324,32,2014-04-27,2015-12-20,97.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,strict,t,t,6,1.55
175576,"Queen Anne Hill is a charming neighborhood with historic old homes, located just up the hill from The Seattle Center: close enough to be convenient to everything, yet just far enough away from the traffic, hubbub and commotion of downtown!",2010-09-19,within a few hours,100.0,100.0,t,Queen Anne,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,"1st Ave W, Seattle, WA 98119, United States",West Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",47.63548170841016,-122.35847776162176,t,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",95.0,2,15.0,3,7,0,0,0,153,181,2011-07-21,2015-11-25,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,t,f,1,3.33
4454295,"Beautifully furnished, cozy 1 bedroom mid century modern Craftsman house in Upper Queen Anne. 850 sqft - queen sz bed, large closet, huge dining table, comfy living room, bathtub, fully furnished kitchen, outdoor patio. VERY walkable neighborhood!",2013-01-06,within a few hours,100.0,100.0,f,Queen Anne,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,"3rd Avenue West, Seattle, WA 98119, United States",West Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",47.63721407513561,-122.36004576141458,t,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",99.0,1,0.0,3,1125,21,21,21,229,8,2015-05-06,2015-12-16,97.0,10.0,10.0,9.0,10.0,10.0,9.0,f,f,strict,f,f,1,0.98
