id,summary,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,street,neighbourhood_cleansed,city,state,zipcode,market,smart_location,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
3075044,"Charming and quiet room in a second floor 1910 condo building. The room has a full size bed, darkening curtains, window A/C unit. It's quiet because it's in the back of the house. Shared bathroom. Guests can use kitchen, living room. Pet friendly.",2012-06-07,within an hour,100.0,100.0,f,Roslindale,1,"['email', 'phone', 'facebook', 'linkedin', 'amex', 'reviews', 'jumio']",t,t,"Pinehurst Street, Boston, MA 02131, United States",Roslindale,Boston,MA,02131,Boston,"Boston, MA",42.286240821867416,-71.13437396457161,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron}",65.0,0,0.0,2,15,26,54,84,359,36,2014-06-01,2016-08-13,94.0,10.0,9.0,10.0,10.0,9.0,9.0,f,t,moderate,f,f,1,1.3
6976,"Come stay with a friendly, middle-aged guy in the safe and quiet Roslindale neighborhood of Boston. You will have you own clean, furnished room (with cable TV, Wi-Fi, and a desk to work at) in an apartment that is filled with Mexican folk art. ",2009-05-11,within a few hours,100.0,88.0,t,Roslindale,1,"['email', 'phone', 'reviews', 'jumio']",t,t,"Ardale St., Boston, MA 02131, United States",Roslindale,Boston,MA,02131,Boston,"Boston, MA",42.29243788665679,-71.13576525374667,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo,""Lock on Bedroom Door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",65.0,1,20.0,3,45,19,46,61,319,41,2009-07-19,2016-08-05,98.0,10.0,9.0,10.0,10.0,9.0,10.0,f,f,moderate,t,f,1,0.47
7651065,"My comfy, clean and relaxing home is one block away from the bus line, on a quiet residential street.  Private room includes two comfortable single beds.  Full bath and half bath may be shared with 1-2 other guests.  Light breakfast included. AC",2014-05-11,within an hour,100.0,100.0,t,Roslindale,1,"['email', 'phone', 'reviews', 'kba']",t,t,"Durnell Avenue, Boston, MA 02131, United States",Roslindale,Boston,MA,02131,Boston,"Boston, MA",42.28451220982457,-71.1362580468337,t,House,Private room,2,1.5,1.0,2.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",79.0,1,0.0,2,31,13,34,59,334,29,2015-08-18,2016-09-01,99.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,flexible,f,f,1,2.25
12386020,"Super comfy bedroom plus your own bathroom in our big, sunny condo. Roslindale is an outer neighborhood of Boston. For guests interested in downtown Boston, we are a 45-minute ride via public transportation. We're also just steps from the Arnold Arboretum, nature's gift to Boston. Driveway parking is available.",2016-03-23,within a few hours,100.0,95.0,t,Roslindale,2,"['email', 'phone', 'reviews', 'kba']",t,t,"Walter Street, Boston, MA 02131, United States",Roslindale,Boston,MA,02131,Boston,"Boston, MA",42.291689800769035,-71.13189277475922,t,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Hangers,Iron}",75.0,1,0.0,2,1125,5,28,58,58,8,2016-04-20,2016-08-28,100.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,flexible,f,f,1,1.7
5706985,"It's a 5 minute walk to Rosi Square to catch the train to downtown Boston (15 min ride). HUGE basement studio apartment  (736 sq/68 sq meters)  with separate private entrance under the back deck-low entrance on exterior (60"") Tall interior height 99"". King size bed in the bedroom area which is separated by a 3/4 wall from the  open plan living area. The leather couch converts to a bed (44wide) for a single guest.",2013-05-25,within an hour,98.0,96.0,f,Roslindale,5,"['email', 'phone', 'reviews', 'jumio', 'kba']",t,t,"Kittredge Street, Boston, MA 02131, United States",Roslindale,Boston,MA,02131,Boston,"Boston, MA",42.28138962623447,-71.13119041987277,f,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in""}",100.0,1,25.0,1,1125,22,39,69,344,57,2015-07-08,2016-09-01,90.0,10.0,10.0,10.0,10.0,9.0,9.0,f,f,strict,f,f,3,4.0
2843445,"We can accommodate guests who are gluten-free, vegan and/or vegetarian.  We'll spoil you in our beautifully maintained grand two family home built circa 1924 with spectacular views of the nearby Boston skyline. You'll be treated to a delicious continental breakfast each morning. You will find yourself in a quiet neighborhood only a 4 minute walk to the bus. On street parking available. Sleep in a comfortable spacious queen-size bed and awake to the melodious sounds of birds chirping.",2012-08-05,within a few hours,100.0,100.0,t,Roslindale,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,"Cornell Street, Boston, MA 02131, United States",Roslindale,Boston,MA,02131,Boston,"Boston, MA",42.28194609607024,-71.14102161135577,t,House,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",75.0,1,15.0,1,1125,30,60,90,365,67,2014-05-18,2016-09-04,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,t,t,2,2.38
753446,"Nice and cozy apartment about 6 miles away to downtown Boston, and only  30 minutes via public transportation with plenty of street parking. It is a 5 minute walk from Roslindale Village where you can find public transportation.",2012-10-24,within an hour,100.0,100.0,t,Roslindale,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,"Sycamore St, Roslindale, MA 02131, United States",Roslindale,Roslindale,MA,02131,Boston,"Roslindale, MA",42.285877639201935,-71.12490955692161,t,Condominium,Private room,2,1.0,1.0,2.0,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo,Hangers,""Hair Dryer""}",58.0,2,0.0,2,1125,12,42,72,347,65,2015-09-10,2016-08-30,96.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,moderate,f,f,1,5.36
849408,"This is a cozy and spacious two bedroom unit with everything you need to make your stay a comfortable one.  A true ""home away from home.""  If available, combine with adjacent one bedroom unit to accommodate 6 people comfortably in beds.",2012-12-18,within an hour,100.0,100.0,t,Roslindale,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,"Centre Street, Boston, MA 02131, United States",Roslindale,Boston,MA,02131,Boston,"Boston, MA",42.288820283584535,-71.1395101021012,t,Apartment,Entire home/apt,5,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",229.0,4,25.0,4,10,20,50,80,107,33,2014-01-02,2016-05-27,94.0,10.0,9.0,10.0,10.0,9.0,9.0,f,f,strict,f,f,2,1.01
12023024,"The room is in a single family house located in a quite and safe neighborhood,  near business areas,  restaurants, shops, and close to the beautiful Arnold arboretum  with short  access to public transportation to downtown Boston,  about 20 min.",2016-03-24,within a day,83.0,100.0,f,Roslindale,1,"['email', 'phone', 'reviews']",t,f,"Newburg Street, Boston, MA 02131, United States",Roslindale,Boston,MA,02131,Boston,"Boston, MA",42.286448197788786,-71.13932538848039,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",Essentials,""Lock on Bedroom Door"",""Hair Dryer"",""translation missing: en.hosting_amenity_50""}",60.0,1,10.0,1,1125,16,38,68,343,1,2016-06-17,2016-06-17,80.0,10.0,8.0,8.0,10.0,10.0,10.0,f,f,flexible,f,f,1,0.36
1668313,"Quiet second floor bedroom sleeps one in comfort, Includes back yard view, semi-private full bath & use of first floor living area, front porch & garden. Great plus: free street parking or a short walk to public transport into Boston/Cambridge.",2013-09-14,within an hour,100.0,89.0,t,Roslindale,2,"['email', 'phone', 'reviews', 'kba']",t,t,"Durnell Avenue, Boston, MA 02131, United States",Roslindale,Boston,MA,02131,Boston,"Boston, MA",42.281941832424685,-71.13337190191741,t,House,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",57.0,1,0.0,1,1125,6,36,66,341,17,2013-10-21,2016-08-18,94.0,9.0,10.0,10.0,10.0,9.0,9.0,f,f,flexible,f,f,2,0.48
